HANDELSNAAM,AKTIEF,NR,LABEL,KATEGORIE,REDE,ONTHOUDING
ABAMEC X&M,ABAMEKTIEN (AVERMEKTIEN),L10933,GEEL,INSEK,BLAARMYNER,
ACEPHATE 750 SP,ASEFAAT (ORGANOFOSFAAT),L7181,BLOU,INSEK,BLAASSPOOTJIE,
ADHERE,"PINEEN (POLITERPEEN),  POLIMERE",L8278,BLOU,BYVOEG MIDDEL,KLEEFMIDDEL,0
AMINO STIM,AMINO SURE,,GROEN,BLAAR,GROND VERBETERAAR,0
AMINODOSE,VISOLIE EMULSIE,,GROEN,BLAAR,BLAARVOEDING,0
AMISTAR,ASOKSISTROBIEN (STROBILURIEN),L6230,BLOU,SWAM,DONSIGE SKIMMEL,20
ANNGRO EW,ETIEL-ETERS VAN VETSURE,L9443,GROEN,BYVOEG MIDDEL,PENETREERDER,0
APHIDEW ,SAPONIFIED FATTY ACIDS,L9187,BLOU,BYVOEG MIDDEL,BENATTER,0
APHITEC 300 WDG,INDOKSAKARB (OKSADIASIEN),L11397,BLOU,INSEK,BOLWURM,
AQUA PURA PLUS,POLIMERE,,KUNSMIS,KUNSMIS,WATER INFILTRASIE BEVORDERAAR,0
AQUA-WET,"ALCOHOL ETHOXYLATE, GLYCOL ETHER, FATTY ACIDS",. L6204,GEEL,BYVOEG MIDDEL,BENATTER,0
AROXY 250 SC,ASOKSISTROBIEN (STROBILURIEN),L9259,BLOU,SWAM,"ALTENARIA, STEMPHYLIUM",20
AUTUS GOLD,SAMESTELLING VAN HUMUS-EN FULVIENSURE,B5218,GROEN,BLAAR,BLAARVOEDING,0
BACILLUS TEE,MIKROBES,,GROEN,BLAAR,PLANT KONDISIONERING,0
BACSTIM ,MIKROBES,,GROEN,BLAAR,PLANT KONDISIONERING,0
BASIC N,PROPAMOKARB HYDROKLORIED (KARBAMAAT),L6680,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
BELLIS,"PIRAKLOSTROBIEN (STROBILURIEN), BOSKALID (KARBOKSANILIED)",L7817,BLOU,SWAM,ROES,
BELT,FLUVENDIAMIED,L8860,BLOU,INSEK,BOLWURM,
BIO BUFFER,BUFFER AGNTE,L7658,PERS,BYVOEG MIDDEL,BUFFER,0
BIOMECTIN 18 EC,ABAMEKTIEN (AVERMECTIEN),L7979,GEEL,INSEK,BLAARMYNER,14
BOOST P,MICRO ELEMENTE ,K8577,GROEN,BLAAR,BLAARVOEDING,0
BRAVO 720 SC,CHLOROTHALONIL (PHTHALONITRIEL),L7005,BLOU,SWAM,BREE SPEKTRUM SWAMDODER,14
BRILLIANT 240 OD,AMMONIUMFOSFIET ,L7225,BLOU,SWAM,DONSIGE SKIMMEL,
CARBON PLUS,AMINO SURE,,GROEN,BLAAR,GROND VERBETERAAR,0
CALBOR,KALSIUM (Ca),,GROEN,BLAAR,BLAARVOEDING,0
CARBO CAL,KALSIUM (Ca),B4053,GROEN,BLAAR,BLAARVOEDING,0
CARBO ZINC,"SINK (Zn), BOOR (B)",B4059,GROEN,BLAAR,BLAARVOEDING,0
CARBOSTEM,KARBOSULFAN (KARBAMAAT),L7859,ROOI,INSEK,BLAASSPOOTJIE,
CARTAP 500 SP,KARTAP HIDROCHLORIED,L8497,GEEL,INSEK,BLAASSPOOTJIE,
CHELAG POT&CAL,"KALSIUM (Ca), KALIUM (K), MOLIBDEEN (MO), BOOR (B), AMINO CLUCONATE, FULVIENSUUR",K8329,GROEN,BLAAR,BLAARVOEDING,0
CHESS,PIMETROSIEN (PIRIDIEN ASOMETIEN),L8104,BLOU,INSEK,PLANTLUIS,14
CHLOROFLO 500 SC,CHLOROTALONIL (CHLORONITRIEL),L5171,BLOU,SWAM,VROE ROES,3
CONTROLLER,"CYMOXANIL, MANKOZEB",L6783,BLOU,SWAM,CLADOSPORIUM ALLII,
COPPER-FLOW-PLUS,KOPER AMMONIUM ASETAAT,L6831,BLOU,SWAM,SWAMSPORE/ SANITEERDER,
COPSTAR 120 SC,COPPER HYDROXIDE,L7026,GEEL,SWAM,SWAMSPORE/ SANITEERDER,14
CUNGFU 538 SC,"KOPERHIDROKSIED, KOPER EKWIVALENT",L7526,GEEL,SWAM,DONSIGE SKIMMEL,3
CUPERDEM,KOPER (Cu),B5359,GROEN,BLAAR,BLAARVOEDING,0
CURFEW 250 EW,TEBUKONASOOL (TRIASOOL),L9327,BLOU,SWAM,ALTENARIA,
CYGON,CYROMAZINE,L7230,BLOU,INSEK,BLAARMYNER,28
CYFLO,"TOCOPHEROLS, OMEGAPHEROLE, OLIGOSAGGARIEDE",L10511,GROEN,BYVOEG MIDDEL,PENETREERDER,0
CYMOXAZEB WP,MANKOSEB (DITIOKARBAMAAT),L7694,BLOU,SWAM,DONSIGE SKIMMEL,
CYPERMETRIN 200 EC,SIPERMETRIEN (PIRETOID),L4069,GEEL,INSEK,BLAASSPOOTJIE,
D-ZOLE 250 EC,DIFENOKONASOOL (TRIASOOL),L7923,BLOU,SWAM,ALTENARIA,
DACTHAL ,CHLOORTAL-DIMETIEL  (BENSOESUUR),L1372,BLOU,ONKRUID,ONKRUIDDODER,
DECIS FORTE,DELTAMETRIEN (PIRETROIED),L6563,GEEL,INSEK,BLAASSPOOTJIE,2
DEMILDEX,KOPPER OKSICHLORIED,L5094,,SWAM,SAGTE VROT,
DIMETHOZEB 690 WG,DIMETHOZEB/ MANCOZEB,L7985,BLOU,SWAM,DONSIGE SKIMMEL,7
DIVINO 250 EC,DIFENOKONASOOL (TRIASOOL),L9343,BLOU,SWAM,ROES,
ECKLOMAX,SEAWEED EXTRACT,B3728,GROEN,KUNSMIS,KUNSMIS,0
ECKOSIL,"SILIKON (Si), SILIKONDIOKSIED ",,GROEN,BLAAR,BLAARVOEDING,0
EM LANTANA,MIKROBES,,GROEN,BLAAR,PLANT KONDISIONERING,0
FLAVO MUNE,"ISO BIOFLAVANOIDS VITAMINS, ORGANIC ACID",B4437,GROEN,BLAAR,BLAARVOEDING,0
FLOWABLE SULPHUR,SWAEL (S),"L0142,",BLOU,SWAM,BLAASSPOOTJIE,
FOCUS ULTRA,CYClOXYDIM (CYCLOHEXENONE COMPOUND),L4319,GROEN,ONKRUID,ONKRUIDDODER,
FOLIA CALMAG B,"KALSIUM (Ca), MAGNESIUM (Mg) , BOOR (B)",,GROEN,BLAAR,BLAARVOEDING,0
FOSFAAT PHLOEM,FOSFAAT (P),,GROEN,BLAAR,BLAARVOEDING,0
FOXAMYL 10 G,OKSAMIL (KARBAMAAT),L9877,ROOI,NEMATODE,NEMATODE,
FOXAMYL 310 SL,OKSAMIL (KARBAMAAT),L9883,ROOI,NEMATODE,NEMATODE,
FUNGURAN-OH 50 WP,KOPERHIDROKSIED,,BLOU,SWAM,"BOTRYTIS, DONSIGE SKIMMEL",
GALLANT SUPER,HALOKSIFOP-R METIELESTER (PIRIDINIL-OKSIEFENOKSIEVERDINDING),L4962,,ONKRUID,ONKRUIDDODER,40
GOAL 480 SC,OKSIFLUORFEN (DIFENIEL ETER),L8303,BLOU,ONKRUID,ONKRUIDDODER,
HERBI-THAL 480 SC,CHLORTHAL-DIMETHYL (PHTHALIC ACID COMPOUND),L7676,BLOU,ONKRUID,ONKRUIDDODER,
HIDROBUFF,"BENATTINGSMIDDELS, BUFFER AGENTE",L8428,BLOU,BYVOEG MIDDEL,BUFFER,0
IN-CAP,NATURAL BOTANICAL OILS & EXTRACTS,L11555,GEEL,BYVOEG MIDDEL,BENATTER,0
INTERLOCK,"GROENTE OLIES, POLI OXYETILEEN VETSUUR ESTER",L10254,BLOU,BYVOEG MIDDEL,BENATTER,0
IOXYNIL 225 EC,IOXYNIL AS OKTANOAAT ESTER(NITRIEL) .,L9021,GEEL,ONKRUID,ONKRUIDDODER,
IPROFLO 500 SC,IPRODIOON (DIKARBOKSIMIED),L8213,GEEL,SWAM,BOTRYTIS,3
JOEMIX,MICRO+ MACRO ELEMENTE,,GROEN,BLAAR,BLAARVOEDING,0
JUDGE 50 EC,LUFENURON (BENSAMIED),L9927,BLOU,INSEK,,
KALGAN 722 SL,PROPAMOKARB HYDROKLORIED (KARBAMAAT),L10596,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
KALIUM PHLOEM,KALIUM (K),,GROEN,BLAAR,BLAARVOEDING,0
KARATE ZEON 10 CS,LAMBDA-SIHALOTRIN (PIRETROIED),L9023,GEEL,INSEK,BLAASSPOOTJIE,3
KICKBACK 700 WP,"METALAKSIL (FENIELAMIED), MANKOSEB (DITIOKARBAMAAT)",L7105,BLOU,SWAM,DONSIGE SKIMMEL,
KIPLANT VS-04,MIKRO VOEDING STOWWE,B5357,GROEN,BLAAR,BLAAR & PLANT STIMULANT,0
KLORPIRIFOS EC,CHLOORPIRIFOS (ORGANOFOSFAAT),L4318,GEEL,INSEK,BLAASSPOOTJIE,
KOCIDE 2000,KOPERHIDROKSIED,L7805,BLOU,SWAM,"BOTRYTIS, DONSIGE SKIMMEL",
LINEAR 350 EC,"LAMBDA-SIHALOTRIN (PERITROIED), CHLOORPIRIFOS (ORGANOFOSFAAT)",L8602,GEEL,INSEK,BLAASSPOOTJIE,
LIQUIMAX DS,SEAWEED EXTRACT,,GROEN,BLAAR,WORTEL STIMULANT,0
LIQUIMAX ULTRA,SEAWEED FOLIAR SPRAY,K7120,GROEN,BLAAR,WORTEL STIMULANT,0
